,capacity,type,loc1,loc2,status
62,400,2,777,653,"[[7, 14], [28, 93], [113, 174], [199, 213], [277, 305], [331, 435]]"
63,301,4,170,297,"[[11, 75], [115, 139], [166, 189], [263, 361], [374, 380], [419, 420]]"
64,651,4,100,254,"[[0, 28], [30, 52], [92, 93], [102, 146], [169, 188], [254, 266], [301, 343], [345, 367], [374, 416]]"
65,268,2,971,44,"[[86, 473]]"
66,873,4,961,98,"[[106, 134], [187, 379], [453, 473]]"
67,929,1,925,888,"[[357, 417]]"
68,423,2,924,757,"[[132, 221], [232, 237], [274, 307], [337, 338], [346, 358], [437, 443]]"
69,993,2,128,364,"[[91, 125], [164, 177], [181, 225], [263, 365], [396, 423], [445, 458], [472, 480]]"
70,158,4,246,927,"[[35, 65], [111, 129], [196, 237], [243, 380], [406, 429], [488, 497]]"
71,897,2,822,829,"[[31, 50], [69, 90], [92, 111], [133, 169], [261, 263], [284, 308], [350, 387], [392, 499]]"
72,741,0,844,121,"[[42, 101], [194, 206], [265, 377], [440, 497]]"
73,825,2,936,508,"[[42, 115], [119, 156], [160, 193], [318, 319], [404, 428], [437, 441]]"
74,664,4,827,2,"[[49, 67], [81, 125], [214, 271], [299, 323], [356, 358], [370, 372], [402, 429], [463, 475]]"
75,842,4,477,428,"[[25, 31], [51, 74], [86, 100], [105, 154], [201, 207], [212, 249], [425, 483]]"
76,208,4,776,252,[]
77,462,4,251,380,"[[155, 170], [205, 217], [219, 242], [245, 250], [286, 299], [414, 462], [482, 484]]"
78,926,4,279,914,"[[16, 44], [60, 75], [79, 104], [105, 131], [297, 331], [381, 388], [397, 406], [429, 460], [467, 485]]"
79,941,4,350,221,"[[24, 58]]"
80,385,3,47,11,"[[26, 55], [124, 199], [200, 206], [214, 382], [471, 487]]"
81,702,1,460,893,"[[36, 131], [289, 371], [376, 386], [408, 425]]"
82,741,0,381,600,"[[33, 103], [137, 151], [216, 217], [303, 348], [367, 394], [396, 413], [422, 468]]"
83,82,2,257,191,"[[5, 56], [155, 223], [236, 243], [244, 271], [274, 314], [338, 391], [482, 497]]"
84,554,3,482,175,"[[39, 61], [84, 137], [140, 141], [176, 195], [209, 243], [247, 397], [434, 489]]"
85,479,0,553,258,"[[385, 403]]"
86,56,0,921,791,"[[21, 142], [156, 186], [205, 225], [254, 256], [368, 382], [386, 393], [399, 419], [434, 489]]"
87,109,1,52,565,"[[88, 101], [137, 167], [197, 269], [319, 405], [455, 458]]"
88,466,3,900,480,"[[333, 343], [417, 445]]"
89,406,2,660,245,"[[18, 197], [224, 250], [292, 330], [336, 363], [366, 367]]"
90,880,0,807,725,"[[8, 20], [42, 76], [108, 137], [228, 310], [382, 407]]"
91,84,4,915,607,"[[14, 51], [70, 120], [144, 178], [210, 211], [289, 388], [402, 409], [461, 491]]"
92,190,1,193,546,"[[182, 190], [234, 262], [313, 322], [342, 364], [375, 388], [401, 405], [420, 472]]"
93,290,3,722,533,"[[254, 257], [326, 329], [388, 443]]"
94,922,1,696,193,"[[242, 309]]"
95,911,0,78,970,"[[47, 62], [122, 124], [140, 227], [270, 305], [338, 368], [403, 476]]"
96,302,2,684,307,"[[172, 297]]"
97,948,2,395,137,"[[58, 59], [67, 76], [107, 143], [146, 218], [223, 224], [290, 310], [323, 368], [374, 403]]"
98,172,0,483,722,[]
99,820,3,85,650,"[[209, 210], [268, 285], [305, 421]]"
100,850,2,483,84,"[[9, 11], [36, 49], [72, 80], [124, 141], [264, 290], [315, 326], [341, 360], [437, 464], [474, 498]]"
101,146,4,540,521,"[[20, 32], [112, 124], [141, 166], [200, 213], [215, 226], [319, 422], [459, 475]]"
102,984,1,458,17,"[[129, 166], [188, 193], [217, 256], [343, 449]]"
103,880,2,993,478,"[[31, 63], [98, 110], [157, 161], [202, 268], [273, 274], [351, 355], [374, 441], [457, 463]]"
104,360,4,354,449,"[[42, 181], [186, 196], [245, 269], [298, 337], [351, 378], [393, 405], [417, 438], [442, 487]]"
105,889,4,606,186,"[[31, 77], [100, 258], [302, 419], [427, 487]]"
106,217,0,866,250,"[[26, 54], [96, 116], [175, 185], [193, 221], [281, 319], [331, 379], [401, 402], [405, 477]]"
107,583,3,182,321,"[[55, 195], [338, 437]]"
108,57,4,483,169,"[[103, 200], [203, 254], [391, 403], [409, 433]]"
109,744,4,907,999,"[[24, 45], [58, 182], [187, 188], [217, 310], [325, 372], [391, 479]]"
110,635,2,528,394,"[[71, 98], [196, 243], [272, 314], [330, 354], [365, 398]]"
111,684,2,453,993,"[[366, 396]]"
112,371,0,178,511,"[[89, 123], [154, 168], [212, 217], [225, 227], [228, 240], [275, 297], [303, 364], [403, 420], [426, 476]]"
113,127,1,87,771,"[[37, 56], [110, 112], [116, 148], [202, 213], [235, 240], [270, 337], [405, 499]]"
114,897,2,961,710,"[[15, 22], [56, 166], [204, 322], [399, 467]]"
115,549,3,145,485,"[[17, 171], [377, 459]]"
116,211,1,376,129,"[[20, 485]]"
117,637,2,507,468,"[[74, 115], [191, 270], [285, 290], [357, 369], [402, 445], [446, 448], [488, 496]]"
118,359,4,239,795,"[[105, 117], [224, 246], [302, 323]]"
119,714,1,22,789,"[[8, 112], [113, 121], [141, 154], [258, 348], [393, 419], [461, 462]]"
120,777,0,536,240,"[[84, 115], [156, 177], [258, 350], [420, 424], [464, 489]]"
121,927,1,958,29,"[[129, 163], [169, 196], [240, 281], [294, 326], [436, 487]]"
122,115,2,630,58,"[[18, 35], [41, 42], [49, 57], [72, 147], [169, 214], [224, 259], [266, 286], [330, 493]]"
123,941,0,482,274,[]
124,139,1,368,314,"[[31, 38], [80, 140], [150, 154], [164, 177], [192, 253], [267, 344], [393, 433], [462, 469]]"
125,249,0,455,528,"[[131, 458]]"
126,323,1,289,254,"[[41, 92], [133, 137], [171, 215], [281, 479]]"
127,339,0,297,93,"[[0, 81], [155, 175], [274, 316], [401, 426]]"
128,243,4,909,348,"[[57, 146], [158, 198], [300, 327], [420, 478], [497, 499]]"
129,554,3,907,573,"[[46, 80], [85, 116], [118, 202], [250, 259], [283, 392], [437, 489]]"
130,387,1,617,869,"[[14, 48], [78, 111], [172, 196], [214, 218], [229, 246], [305, 341], [342, 406], [418, 460]]"
131,451,1,352,156,"[[75, 300]]"
132,879,0,858,325,"[[61, 227], [266, 294], [400, 457]]"
133,945,1,442,326,"[[77, 120], [175, 201], [262, 283], [392, 423], [428, 496]]"
134,657,2,707,977,"[[13, 49], [173, 186], [230, 266], [343, 416]]"
135,277,3,140,511,"[[9, 49], [58, 69], [122, 125], [126, 233], [267, 297], [315, 369], [377, 406], [413, 480]]"
136,904,0,761,495,"[[7, 11], [138, 139], [155, 175], [177, 179], [256, 296], [323, 356], [357, 375], [405, 411], [414, 453]]"
137,770,2,505,810,"[[4, 153], [156, 181], [281, 369]]"
138,671,2,45,729,"[[34, 44], [86, 92], [102, 139], [153, 238], [311, 445]]"
139,642,0,933,910,"[[3, 15], [88, 89], [100, 146], [165, 182], [247, 263], [277, 325], [337, 365], [412, 446]]"
140,566,3,954,887,"[[9, 87], [117, 133], [139, 154], [196, 223], [323, 356], [378, 389], [415, 452]]"
141,58,0,11,806,[]
142,442,1,20,204,"[[59, 76], [138, 139], [288, 302]]"
143,782,1,3,80,"[[294, 430]]"
144,761,2,504,195,[]
145,562,0,795,83,"[[6, 90], [132, 159], [216, 282], [309, 373], [405, 475]]"
146,209,4,676,903,"[[274, 287]]"
147,59,3,848,390,"[[165, 174], [335, 364]]"
148,948,1,427,570,"[[49, 66], [130, 158], [174, 185], [219, 240], [253, 257], [284, 319], [327, 392], [450, 468]]"
149,130,1,969,200,"[[46, 47], [70, 100], [120, 130], [171, 211], [241, 246], [254, 257], [270, 338], [355, 437], [471, 497]]"
150,434,4,422,821,"[[213, 224], [345, 368], [420, 491]]"
151,80,2,656,891,"[[53, 152], [220, 297], [305, 336]]"
152,625,2,868,522,"[[20, 82], [83, 113], [155, 184], [232, 271], [272, 337], [339, 352], [398, 434], [450, 462]]"
153,785,0,476,214,[]
154,605,2,265,394,"[[23, 64], [140, 146], [148, 168], [241, 243], [257, 289], [296, 344], [387, 388], [407, 422], [460, 490]]"
155,454,2,590,512,"[[2, 43], [56, 85], [95, 114], [124, 150], [157, 258], [280, 296], [354, 371], [403, 412], [416, 434]]"
156,306,1,111,976,"[[15, 30], [136, 153], [155, 180], [188, 200], [247, 274], [320, 326], [347, 359], [413, 414], [432, 489]]"
157,742,1,592,862,"[[8, 39], [124, 139], [157, 159], [163, 305], [332, 343], [371, 459]]"
158,902,0,792,453,"[[140, 209]]"
159,916,1,121,416,[]
160,916,0,290,512,"[[31, 47], [219, 254], [339, 367], [457, 459]]"
161,208,4,484,92,"[[5, 122], [124, 199], [425, 433]]"
162,971,4,815,814,"[[102, 105], [171, 408], [472, 474]]"
163,201,3,407,759,"[[16, 31], [190, 239], [240, 279], [300, 327], [345, 374], [390, 431], [447, 468]]"
164,443,3,33,102,"[[30, 125], [345, 482]]"
165,436,0,932,720,"[[37, 177], [224, 229], [238, 307], [351, 388]]"
166,959,3,228,998,"[[80, 151], [178, 233], [286, 299], [333, 349], [415, 489]]"
167,692,1,426,912,"[[30, 32], [57, 125], [143, 154], [278, 306], [353, 368], [379, 382], [388, 395], [397, 479], [480, 484]]"
168,770,0,482,519,"[[56, 128], [160, 211], [237, 316]]"
169,533,0,84,289,"[[360, 435]]"
170,995,0,531,472,"[[33, 73], [74, 82], [89, 123], [169, 212], [216, 255], [318, 351], [387, 395], [413, 424], [455, 468]]"
171,934,3,652,673,[]
172,731,0,335,134,"[[42, 92], [165, 211], [241, 316], [337, 397], [407, 422], [427, 473]]"
173,347,3,498,469,"[[13, 118], [382, 467]]"
174,605,3,499,117,"[[13, 38], [45, 134], [177, 184], [282, 290], [303, 361], [386, 400], [403, 420]]"
175,585,1,304,961,"[[6, 43], [141, 151], [152, 254], [273, 365], [478, 486]]"
176,874,1,67,137,"[[48, 62], [101, 138], [284, 289], [320, 373], [394, 411], [459, 480]]"
177,268,0,195,815,"[[4, 20], [29, 69], [148, 254]]"
178,356,4,253,175,"[[28, 34], [56, 88], [109, 190], [239, 367], [389, 449]]"
179,574,0,470,149,"[[84, 142], [160, 165], [198, 225], [229, 278], [288, 291], [306, 337], [429, 489]]"
180,409,0,568,229,"[[4, 23], [27, 63], [155, 158], [159, 175], [187, 198], [252, 267], [389, 395], [432, 482]]"
181,541,1,685,995,"[[127, 208], [214, 363]]"
182,651,3,677,401,"[[3, 23], [184, 251], [348, 430]]"
183,466,3,304,8,"[[109, 119], [261, 308], [329, 421]]"
184,259,2,298,995,"[[9, 51], [72, 86], [122, 153], [176, 201], [231, 245], [265, 286], [320, 362], [384, 397], [431, 444]]"
185,326,0,206,848,"[[80, 121], [130, 133], [142, 152], [161, 169], [193, 239], [273, 348], [383, 468]]"
186,527,4,544,618,"[[19, 42], [114, 150], [179, 202], [227, 237], [310, 318], [370, 395], [438, 476]]"
187,366,2,28,779,"[[285, 480]]"
188,450,0,954,915,"[[11, 17], [23, 69], [166, 202], [215, 217], [268, 315], [356, 378]]"
189,305,3,570,76,"[[15, 77], [90, 106], [182, 188], [190, 208], [235, 245], [271, 278], [334, 418]]"
190,233,0,476,726,"[[63, 105], [172, 245], [287, 362]]"
191,461,3,177,870,"[[30, 86], [118, 308], [333, 444]]"
192,110,4,585,218,"[[46, 49], [64, 89], [155, 160], [178, 267], [287, 322], [394, 490]]"
193,128,1,95,337,"[[30, 84]]"
194,495,3,65,951,"[[42, 111], [141, 286], [355, 372], [375, 385], [404, 415], [416, 486]]"
195,614,2,854,893,"[[4, 31], [72, 95], [118, 137], [151, 216], [232, 275], [417, 492]]"
196,692,4,968,715,"[[2, 88], [329, 362], [424, 438]]"
197,353,0,174,553,"[[86, 219]]"
198,396,3,279,21,"[[5, 141], [232, 243], [266, 327], [359, 418]]"
199,115,2,724,305,"[[76, 78], [129, 149], [185, 201], [216, 219], [243, 287], [311, 338], [341, 403], [451, 469]]"
