,capacity,loc1,loc2,rate,type,expense,status
18,535,460,985,5,[2],[190],"[[120, 250], [500, 640], [710, 760], [830, 890], [960, 990]]"
19,933,876,390,3,[1],[151],"[[30, 70], [90, 170], [290, 340], [430, 440], [500, 510], [520, 570], [650, 800]]"
20,634,876,160,3,[4],[194],"[[140, 230], [640, 890], [900, 940]]"
21,407,691,511,2,"[0, 3, 4]","[193, 181, 188]",[]
22,863,501,547,9,[2],[190],"[[420, 700]]"
23,444,304,710,6,"[1, 4]","[184, 141]","[[120, 210], [630, 690], [830, 960]]"
24,223,934,892,7,"[0, 2, 4]","[107, 141, 126]","[[200, 270], [310, 400], [430, 530], [640, 660]]"
25,891,407,622,1,"[2, 4]","[104, 169]","[[120, 260], [500, 520], [940, 950]]"
26,473,70,173,9,"[0, 2, 3]","[153, 162, 146]","[[0, 150], [220, 240], [300, 410], [750, 770], [880, 970]]"
27,958,181,846,10,"[1, 2, 3]","[131, 107, 189]","[[70, 270], [440, 510], [580, 650], [850, 930]]"
28,589,912,77,8,"[0, 2]","[126, 108]",[]
29,807,333,146,2,[1],[151],[]
30,194,38,544,2,"[0, 1, 2]","[174, 190, 150]","[[10, 30], [340, 890]]"
31,529,813,258,2,[3],[113],"[[0, 140], [190, 460], [660, 670]]"
32,869,438,946,1,"[3, 4]","[101, 108]","[[260, 270], [670, 790]]"
33,114,605,153,3,"[2, 4]","[104, 169]","[[80, 240]]"
34,271,763,379,8,"[2, 4]","[104, 169]","[[140, 260], [270, 280], [530, 650], [700, 790], [880, 980]]"
35,332,25,101,7,[1],[151],"[[0, 310], [510, 560], [640, 790], [860, 990]]"
36,75,553,784,10,"[0, 2]","[126, 108]","[[420, 550], [610, 730]]"
37,181,501,28,9,"[0, 4]","[170, 180]","[[180, 220], [480, 490], [550, 870], [890, 970]]"
38,500,622,867,10,"[3, 4]","[101, 108]","[[50, 120], [170, 210], [350, 490], [500, 560], [710, 820]]"
39,529,664,80,9,"[0, 3, 4]","[193, 181, 188]","[[740, 870]]"
40,244,629,977,5,"[2, 3]","[154, 157]","[[80, 380], [670, 900]]"
41,601,712,644,6,"[0, 1, 3]","[109, 148, 125]","[[30, 40], [130, 280], [330, 380], [420, 550], [600, 640], [740, 780], [790, 820]]"
42,955,421,139,6,[1],[151],"[[80, 110], [190, 290], [430, 470], [490, 500], [510, 540], [560, 860], [900, 940]]"
43,813,388,855,10,"[0, 1, 4]","[174, 157, 103]","[[30, 70], [320, 510]]"
44,994,530,649,6,[4],[194],"[[30, 90], [130, 180], [190, 340], [380, 430], [470, 500], [590, 610], [920, 950]]"
45,404,58,261,8,"[0, 1]","[177, 198]","[[90, 170]]"
46,84,394,485,9,"[0, 2, 4]","[107, 141, 126]","[[30, 110], [180, 280], [340, 450], [470, 510], [660, 710], [820, 840], [880, 990]]"
47,648,299,958,5,"[1, 2]","[143, 179]",[]
48,440,680,100,3,"[2, 3, 4]","[116, 127, 119]","[[70, 250], [320, 350], [400, 420], [590, 680], [690, 710], [800, 930], [960, 970]]"
49,439,43,833,2,[1],[151],"[[40, 80], [170, 240], [310, 560], [580, 660]]"
50,434,292,307,6,"[0, 4]","[170, 180]",[]
51,149,445,311,6,"[3, 4]","[101, 108]",[]
52,777,76,26,3,[0],[139],"[[90, 140], [150, 220], [250, 490], [630, 680], [690, 720], [910, 960]]"
53,108,187,687,9,"[0, 1]","[177, 198]","[[190, 200], [550, 630], [680, 780]]"
54,518,195,978,9,"[1, 3, 4]","[138, 178, 163]","[[690, 780]]"
55,551,12,514,7,"[0, 1]","[177, 198]","[[10, 140], [150, 200], [320, 380], [390, 650], [700, 830]]"
56,491,175,80,4,[3],[113],"[[140, 170], [460, 470], [600, 880]]"
57,300,895,23,6,[2],[190],"[[510, 630], [840, 850]]"
58,928,273,205,5,"[0, 2, 3]","[153, 162, 146]","[[130, 740]]"
59,478,405,353,7,"[0, 3, 4]","[193, 181, 188]","[[0, 60], [560, 670]]"
60,448,279,136,6,"[1, 2]","[143, 179]",[]
61,531,434,163,7,"[2, 3]","[154, 157]",[]
62,436,107,980,7,[2],[190],"[[30, 40], [90, 240], [270, 730], [830, 870], [880, 930]]"
63,321,285,873,7,"[0, 1]","[177, 198]","[[740, 830]]"
64,644,879,687,8,[3],[113],"[[10, 140], [430, 790], [940, 990]]"
65,873,203,873,7,[2],[190],"[[140, 180], [190, 240], [370, 390], [630, 660], [720, 770], [850, 880], [920, 980]]"
66,904,645,870,4,[3],[113],"[[380, 490], [520, 550], [560, 670], [900, 970]]"
67,509,438,133,5,"[0, 1]","[177, 198]","[[170, 410]]"
68,291,164,627,1,"[0, 1, 3]","[109, 148, 125]",[]
69,918,626,538,7,"[2, 3]","[154, 157]","[[20, 80], [110, 200], [240, 270], [310, 420], [590, 760], [870, 970]]"
70,473,1,686,7,"[2, 3]","[154, 157]","[[30, 50], [90, 110], [240, 350], [390, 510], [600, 710], [730, 740], [800, 860]]"
71,928,326,825,6,"[3, 4]","[101, 108]","[[120, 170], [210, 500], [530, 950]]"
72,410,108,543,3,[4],[194],"[[250, 430], [460, 520], [560, 650], [690, 760], [770, 780], [830, 840], [970, 980]]"
73,345,541,457,4,[4],[194],"[[40, 70], [150, 170], [320, 370], [530, 550], [570, 650], [670, 770], [800, 930]]"
74,898,149,428,3,"[0, 1, 3]","[109, 148, 125]","[[50, 190], [250, 470], [580, 940]]"
75,700,282,819,8,"[1, 2]","[143, 179]","[[60, 160], [340, 370]]"
76,148,814,853,4,[2],[190],"[[0, 180], [480, 510], [570, 680], [760, 790], [830, 890]]"
77,889,30,823,4,[1],[151],[]
78,624,138,917,7,"[0, 2]","[126, 108]","[[110, 560], [580, 600], [710, 960]]"
79,373,161,96,3,"[1, 3, 4]","[138, 178, 163]",[]
80,948,714,856,3,"[0, 1, 2]","[174, 190, 150]","[[0, 80], [150, 160], [200, 390], [590, 690], [760, 820], [870, 880]]"
81,594,586,875,1,"[1, 3, 4]","[138, 178, 163]","[[0, 20], [110, 130], [230, 320], [340, 360], [400, 530], [620, 640]]"
82,958,594,778,7,"[0, 3]","[143, 128]","[[10, 30], [70, 210], [220, 370], [480, 500], [540, 600], [800, 900], [950, 970]]"
83,236,671,612,3,[1],[151],"[[100, 190], [210, 220], [290, 510], [590, 630], [670, 690], [880, 900], [940, 950]]"
84,706,278,318,4,[2],[190],"[[80, 90], [140, 220], [330, 390], [430, 580], [600, 690], [850, 870], [920, 940]]"
85,875,273,552,4,[2],[190],"[[400, 800]]"
86,757,270,692,8,[3],[113],"[[0, 10], [40, 200], [340, 390], [440, 740], [760, 980]]"
87,528,829,455,10,[1],[151],"[[150, 220], [280, 510], [780, 850], [860, 870], [890, 930]]"
88,166,630,332,1,"[0, 3, 4]","[193, 181, 188]",[]
89,339,585,448,4,"[1, 3]","[169, 118]",[]
90,349,912,943,5,[4],[194],"[[20, 40], [90, 220], [360, 680], [790, 890]]"
91,881,35,964,10,[0],[139],[]
92,751,155,592,1,[3],[113],"[[0, 450], [500, 690], [780, 800], [820, 850]]"
93,517,978,667,9,[3],[113],"[[100, 370]]"
94,292,62,810,3,[4],[194],"[[150, 220], [230, 310], [360, 370], [440, 490], [680, 730]]"
95,155,910,888,3,"[1, 2]","[143, 179]","[[30, 180], [260, 540], [770, 870]]"
96,349,179,811,6,"[0, 1, 3]","[109, 148, 125]","[[60, 250], [390, 580], [690, 720], [740, 870], [890, 920], [930, 960]]"
97,68,738,683,2,[4],[194],[]
98,358,563,312,10,"[1, 2]","[143, 179]","[[120, 990]]"
99,562,235,949,2,[0],[139],"[[300, 510]]"
100,534,735,271,10,[3],[113],"[[560, 830]]"
101,559,816,915,1,"[0, 3, 4]","[193, 181, 188]","[[410, 530], [620, 660], [850, 940]]"
102,704,613,593,1,"[2, 3, 4]","[116, 127, 119]","[[380, 560], [690, 910]]"
103,662,769,767,3,"[0, 1]","[177, 198]","[[40, 340], [740, 820]]"
104,814,509,273,7,"[2, 3, 4]","[116, 127, 119]",[]
105,212,806,913,10,"[1, 2]","[143, 179]","[[110, 490], [560, 850]]"
106,665,512,88,9,"[1, 3]","[169, 118]",[]
107,801,711,354,4,[1],[151],"[[100, 170], [240, 420], [440, 490], [620, 850]]"
108,328,912,223,1,"[0, 2, 4]","[107, 141, 126]","[[50, 90], [420, 890]]"
109,801,838,429,7,"[0, 2, 4]","[107, 141, 126]","[[40, 190], [290, 990]]"
110,675,502,894,3,"[3, 4]","[101, 108]","[[220, 250], [370, 470], [550, 680], [700, 730], [830, 930]]"
111,491,549,704,2,"[2, 3, 4]","[116, 127, 119]",[]
112,686,800,632,3,"[2, 4]","[104, 169]","[[160, 540], [600, 960]]"
113,568,573,349,6,[0],[139],"[[0, 20], [80, 130], [190, 300], [390, 650], [690, 700], [720, 920]]"
114,637,55,547,1,"[0, 3, 4]","[193, 181, 188]","[[50, 70], [90, 310], [320, 330], [340, 360], [590, 620], [720, 870], [890, 970]]"
115,63,709,306,10,"[1, 3]","[169, 118]","[[0, 80], [180, 210], [310, 460], [630, 640], [880, 970]]"
116,166,823,389,3,"[1, 2]","[143, 179]","[[0, 70], [160, 170], [180, 210], [330, 390], [440, 570], [660, 780], [800, 830]]"
117,147,804,922,4,"[0, 1, 3]","[109, 148, 125]","[[20, 50], [120, 150], [220, 230], [540, 740], [880, 890]]"
118,853,862,822,1,"[1, 3]","[169, 118]","[[0, 360], [390, 480], [660, 690], [850, 870], [920, 990]]"
119,118,730,675,3,[2],[190],"[[80, 240], [450, 500], [640, 870]]"
120,73,962,961,4,[2],[190],"[[140, 190], [360, 670]]"
121,324,808,697,1,"[1, 2, 3]","[131, 107, 189]",[]
122,785,316,576,8,"[0, 4]","[170, 180]","[[10, 290], [310, 440], [480, 900]]"
123,303,593,328,2,[4],[194],"[[220, 670]]"
124,115,151,927,8,[1],[151],"[[10, 190], [200, 240], [410, 580], [690, 760], [770, 860], [880, 960], [970, 990]]"
125,495,636,492,4,[4],[194],"[[280, 300], [470, 690], [700, 990]]"
126,872,794,129,4,"[3, 4]","[101, 108]","[[320, 700]]"
127,580,628,608,3,"[0, 1, 2]","[174, 190, 150]","[[60, 310], [370, 550], [560, 640], [740, 900]]"
128,78,383,198,8,"[0, 2, 4]","[107, 141, 126]",[]
129,309,818,973,7,[3],[113],"[[310, 420]]"
130,608,916,800,9,"[0, 2, 4]","[107, 141, 126]","[[230, 260], [460, 470], [660, 880]]"
131,755,889,914,8,"[1, 4]","[184, 141]",[]
132,552,386,119,5,"[0, 1]","[177, 198]","[[50, 120]]"
133,899,54,928,9,"[1, 3, 4]","[138, 178, 163]","[[0, 40], [100, 360], [670, 690], [790, 950]]"
134,623,1,207,7,"[0, 1, 4]","[174, 157, 103]","[[130, 210], [240, 440], [750, 970]]"
135,940,714,284,8,[4],[194],"[[0, 60], [80, 100], [460, 490], [550, 590], [720, 740]]"
136,414,395,116,6,"[0, 1]","[177, 198]","[[480, 650], [700, 820]]"
137,315,152,488,9,"[1, 3]","[169, 118]","[[0, 160], [280, 300], [340, 410], [460, 590], [740, 860], [900, 930], [950, 970]]"
138,134,840,770,7,"[0, 1]","[177, 198]","[[730, 940]]"
139,349,802,614,7,[4],[194],"[[100, 300], [330, 390], [430, 680], [780, 830], [850, 990]]"
140,843,26,488,7,[4],[194],"[[40, 50], [120, 290], [300, 500], [620, 680], [710, 760], [920, 990]]"
141,654,912,551,1,"[2, 3]","[154, 157]","[[90, 270], [580, 610], [720, 930]]"
142,312,19,596,7,"[2, 3, 4]","[116, 127, 119]","[[150, 180], [260, 700], [890, 900]]"
143,69,194,617,2,[2],[190],"[[300, 790]]"
144,394,421,536,7,"[0, 4]","[170, 180]","[[360, 490]]"
145,914,472,138,6,"[3, 4]","[101, 108]","[[40, 110], [120, 130], [150, 260], [320, 380], [530, 560], [640, 730], [770, 850]]"
146,301,853,385,8,"[1, 2, 4]","[190, 161, 119]","[[0, 220], [240, 340], [390, 410], [430, 440], [550, 600], [660, 850], [960, 970]]"
147,675,50,138,2,[4],[194],[]
148,840,558,754,10,"[0, 2]","[126, 108]","[[240, 470]]"
149,224,196,797,5,"[0, 4]","[170, 180]","[[30, 130]]"
150,572,653,478,4,"[0, 3, 4]","[193, 181, 188]","[[80, 270], [320, 330], [350, 400], [540, 570], [680, 840], [970, 980]]"
151,924,741,752,5,"[1, 2, 3]","[131, 107, 189]","[[80, 180], [310, 350], [460, 630], [870, 970]]"
152,434,226,732,4,"[2, 4]","[104, 169]","[[520, 540], [850, 930]]"
153,903,733,206,8,"[0, 1, 2]","[174, 190, 150]","[[440, 990]]"
154,320,6,344,4,"[0, 1]","[177, 198]","[[440, 620], [630, 640], [660, 780], [870, 950]]"
155,693,182,156,5,"[0, 2, 3]","[153, 162, 146]","[[100, 180], [340, 400], [450, 600], [620, 650], [900, 980]]"
156,912,387,6,4,"[1, 2]","[143, 179]",[]
157,997,425,580,1,"[0, 2, 4]","[107, 141, 126]","[[170, 440], [790, 960]]"
158,838,121,583,8,[4],[194],"[[0, 30], [60, 120], [130, 230], [280, 340], [350, 410], [490, 550], [690, 870]]"
159,93,54,534,4,"[0, 3, 4]","[193, 181, 188]",[]
160,671,367,674,6,"[1, 4]","[184, 141]","[[180, 200], [260, 300], [400, 450], [490, 690], [730, 820], [910, 980]]"
161,713,56,85,7,"[1, 4]","[184, 141]","[[110, 120], [290, 430], [450, 580], [590, 630], [960, 990]]"
162,972,835,861,4,[0],[139],"[[10, 230], [310, 330], [340, 420], [550, 610], [640, 750], [830, 870], [880, 970]]"
163,74,833,717,6,"[0, 2, 4]","[107, 141, 126]","[[10, 30], [60, 210], [290, 460], [690, 700], [900, 950], [980, 990]]"
164,793,46,188,3,"[1, 3]","[169, 118]",[]
165,194,2,677,8,"[1, 2, 3]","[131, 107, 189]","[[0, 90], [790, 850]]"
166,729,498,303,1,[3],[113],"[[90, 100], [220, 250], [360, 440], [490, 640], [750, 790], [850, 870]]"
167,387,370,260,9,[3],[113],"[[50, 170], [270, 570], [630, 700], [880, 990]]"
168,887,484,636,1,"[0, 3, 4]","[193, 181, 188]","[[130, 400], [440, 490]]"
169,815,855,378,4,"[0, 3]","[143, 128]","[[180, 260], [390, 440], [510, 530], [640, 740], [910, 920]]"
170,901,536,666,8,[4],[194],"[[150, 220], [310, 330], [360, 410], [430, 640], [670, 720], [780, 820]]"
171,998,122,439,5,"[1, 4]","[184, 141]",[]
172,210,423,300,6,"[2, 4]","[104, 169]","[[170, 230], [240, 340], [390, 520], [580, 670], [850, 910], [950, 970]]"
173,385,764,150,8,"[0, 4]","[170, 180]","[[30, 90], [400, 490], [510, 540], [630, 790]]"
174,668,180,426,4,"[0, 1]","[177, 198]",[]
175,732,370,539,6,"[1, 2, 4]","[190, 161, 119]","[[80, 670]]"
176,883,992,347,7,[4],[194],"[[70, 230], [280, 440], [450, 500], [510, 580], [850, 930]]"
177,171,953,596,10,"[1, 2, 3]","[131, 107, 189]",[]
178,405,110,633,7,[3],[113],"[[30, 260], [310, 410], [540, 850], [910, 930]]"
179,625,498,237,10,"[0, 2]","[126, 108]",[]
180,796,367,642,4,"[1, 3]","[169, 118]","[[80, 110], [290, 670]]"
181,56,299,992,6,"[0, 3]","[143, 128]","[[150, 790]]"
182,201,63,3,9,[0],[139],"[[580, 620], [820, 930]]"
183,272,813,695,6,"[3, 4]","[101, 108]","[[10, 30], [110, 120], [240, 300], [320, 330], [480, 610], [620, 680], [800, 860]]"
184,682,755,440,4,"[0, 1, 2]","[174, 190, 150]",[]
185,165,787,235,8,[0],[139],"[[10, 90], [120, 140], [240, 310], [330, 480], [540, 580], [670, 700], [710, 960]]"
186,694,975,292,6,"[0, 2, 3]","[153, 162, 146]","[[50, 740]]"
187,158,687,794,7,"[0, 1]","[177, 198]","[[170, 220], [280, 290], [360, 400], [410, 440], [490, 700], [710, 780], [940, 970]]"
188,286,500,45,9,[1],[151],"[[40, 140], [170, 200], [230, 460], [480, 500], [670, 770], [900, 940], [950, 960]]"
189,260,451,236,5,"[1, 2, 3]","[131, 107, 189]","[[70, 80], [120, 170], [180, 220], [270, 370], [660, 670], [680, 720]]"
190,750,795,763,7,[2],[190],"[[330, 510], [540, 710]]"
191,435,126,368,1,"[0, 3]","[143, 128]","[[40, 240], [260, 320], [380, 490], [560, 600], [740, 860]]"
192,254,313,20,3,[0],[139],"[[10, 140], [310, 410], [420, 430], [470, 500], [870, 970]]"
193,538,270,936,2,"[0, 2, 4]","[107, 141, 126]","[[250, 380], [430, 520], [580, 810]]"
194,130,896,858,8,[2],[190],"[[50, 480], [610, 680]]"
195,651,60,997,4,[3],[113],"[[30, 60], [90, 150], [170, 210], [230, 330], [460, 500], [630, 710], [760, 780]]"
196,760,413,55,3,[1],[151],"[[130, 150], [260, 560]]"
197,486,636,909,1,"[0, 3]","[143, 128]","[[10, 270], [330, 350], [420, 440], [540, 560], [640, 810], [820, 850], [870, 940]]"
198,185,329,59,8,"[2, 3, 4]","[116, 127, 119]","[[180, 290], [440, 540], [900, 920]]"
199,915,188,453,6,[3],[113],"[[230, 250]]"
